Year,January - April Size,May - August Size,September - December Size,Total Year Size,January - April Nr Collections,May - August Nr Collections,September - December Nr Collections,Total Year Nr Collections
1996,0,0,0,0,0,0,1,1
2002,0,0,0,0,0,0,1,1
2003,0,0,0,0,0,0,1,1
2005,0,0,0,0,0,0,1,1
2006,0,0,1,1,0,0,2,2
2007,0,0,2,2,0,0,2,2
2008,2,2,2,5,2,1,1,4
2009,0,3,7,10,0,1,2,3
2010,0,7,2,8,0,3,2,5
2011,3,6,4,13,2,4,2,8
2012,5,0,1,6,3,0,4,7
2013,0,0,2,2,0,1,3,4
2014,6,1,18,25,1,1,5,7
2015,2,11,14,27,1,2,4,7
2016,16,30,13,59,6,5,4,15
2017,14,33,26,73,2,3,7,12
2018,16,38,48,102,2,4,5,11
2019,38,19,75,131,5,3,8,16
2020,68,80,92,240,4,5,8,17
2021,58,26,86,169,8,3,9,20
2022,52,95,84,230,4,5,8,17
2023,58,15,0,73,6,1,0,7